appid,genres,type,release_date
105600,"[{'id': '1', 'description': 'アクション'}, {'id': '25', 'description': 'アドベンチャー'}, {'id': '23', 'description': 'インディー'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '2011年5月16日'}"
2694490,"[{'id': '1', 'description': 'Acción'}, {'id': '25', 'description': 'Aventura'}, {'id': '29', 'description': 'Multijugador masivo'}, {'id': '3', 'description': 'Rol'}, {'id': '70', 'description': 'Acceso anticipado'}]",game,"{'coming_soon': False, 'date': '6 DIC 2024'}"
431960,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '51', 'description': 'Animation & Modeling'}, {'id': '53', 'description': 'Design & Illustration'}, {'id': '55', 'description': 'Photo Editing'}, {'id': '57', 'description': 'Utilities'}]",game,"{'coming_soon': False, 'date': 'Nov 16, 2018'}"
1086940,"[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': '3 Aug, 2023'}"
291550,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Oct 17, 2017'}"
4000,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Nov 29, 2006'}"
1085660,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': '1 Oct, 2019'}"
359550,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Dec 1, 2015'}"
252490,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Feb 8, 2018'}"
552990,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Nov 15, 2017'}"
346110,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '27 Aug, 2017'}"
413150,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': '26 Feb, 2016'}"
242760,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Apr 30, 2018'}"
1491000,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Mar 4, 2025'}"
238960,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Oct 23, 2013'}"
218620,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Aug 13, 2013'}"
291480,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jul 1, 2014'}"
901583,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': ''}"
899770,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Feb 21, 2024'}"
340,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Oct 27, 2005'}"
1091500,"[{'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '9 Dec, 2020'}"
381210,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': '14. Juni 2016'}"
990080,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Feb 10, 2023'}"
438100,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}, {'id': '37', 'description': 'Free To Play'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Feb 1, 2017'}"
292030,"[{'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'May 18, 2015'}"
945360,"[{'id': '4', 'description': 'Casual'}]",game,"{'coming_soon': False, 'date': 'Nov 16, 2018'}"
1097150,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Aug 3, 2020'}"
49520,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '20 Sep, 2012'}"
227300,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Oct 12, 2012'}"
892970,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Feb 2, 2021'}"
739630,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Sep 18, 2020'}"
444090,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'May 8, 2018'}"
1203220,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}]",game,"{'coming_soon': False, 'date': 'Aug 11, 2021'}"
320,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 1, 2004'}"
70,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 19, 1998'}"
582010,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Aug 8, 2018'}"
227940,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Oct 18, 2016'}"
252950,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Jul 6, 2015'}"
108600,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Nov 8, 2013'}"
1966720,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Oct 23, 2023'}"
1174180,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Dec 5, 2019'}"
1517290,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]",game,"{'coming_soon': False, 'date': 'Nov 19, 2021'}"
1240440,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Nov 15, 2021'}"
648800,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Jun 20, 2022'}"
386360,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Sep 8, 2015'}"
444200,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Nov 9, 2016'}"
10,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 1, 2000'}"
240,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 1, 2004'}"
3164500,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Mar 24, 2025'}"
755790,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]",game,"{'coming_soon': False, 'date': 'Jun 24, 2019'}"
400,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Oct 10, 2007'}"
1222670,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jun 18, 2020'}"
550650,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jun 26, 2019'}"
322330,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Apr 21, 2016'}"
239140,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Jan 26, 2015'}"
477160,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Jul 22, 2016'}"
251570,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Jul 25, 2024'}"
100,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Mar 1, 2004'}"
1665460,"[{'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Sep 29, 2021'}"
417910,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Dec 16, 2016'}"
433850,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]",game,"{'coming_soon': False, 'date': 'Feb 28, 2018'}"
594650,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Aug 27, 2019'}"
814380,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Mar 21, 2019'}"
1116170,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Apr 22, 2025'}"
220,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': '16 Nov, 2004'}"
107410,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Sep 12, 2013'}"
1326470,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]",game,"{'coming_soon': False, 'date': 'Feb 22, 2024'}"
219990,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Feb 25, 2016'}"
255710,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': '10 Mar, 2015'}"
261550,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Oct 25, 2022'}"
8930,"[{'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Sep 21, 2010'}"
304050,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': '9 Jul, 2015'}"
289070,"[{'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Oct 20, 2016'}"
377160,"[{'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Nov 9, 2015'}"
532210,"[{'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Sep 26, 2018'}"
2186680,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Dec 7, 2023'}"
1238810,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Oct 22, 2020'}"
3241660,"[{'id': '1', 'description': 'Action'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Feb 26, 2025'}"
221100,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}]",game,"{'coming_soon': False, 'date': 'Dec 13, 2018'}"
526870,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Sep 10, 2024'}"
1089350,"[{'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Sep 6, 2019'}"
632360,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': '11 Aug, 2020'}"
1811260,"[{'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Sep 30, 2022'}"
204360,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Sep 26, 2012'}"
218230,"[{'id': '1', 'description': 'Action'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Nov 20, 2012'}"
72850,"[{'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Nov 10, 2011'}"
394360,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Jun 6, 2016'}"
489830,"[{'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Oct 27, 2016'}"
322170,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': '22 Dec, 2014'}"
1446780,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Jan 12, 2022'}"
224260,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Oct 31, 2013'}"
203160,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': '4 Mar, 2013'}"
275850,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Aug 12, 2016'}"
367520,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': '24 Feb, 2017'}"
301520,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Aug 24, 2017'}"
767560,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Apr 4, 2018'}"
2050650,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Mar 23, 2023'}"
466240,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Mar 3, 2017'}"
284160,"[{'id': '9', 'description': 'Racing'}, {'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': '29 May, 2015'}"
278360,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'May 28, 2014'}"
264710,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'Jan 23, 2018'}"
80,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Mar 1, 2004'}"
370910,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'May 5, 2016'}"
40,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Jun 1, 2001'}"
275390,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'Aug 21, 2014'}"
2881650,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'Apr 1, 2024'}"
311210,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Nov 5, 2015'}"
333930,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jun 2, 2015'}"
1172620,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': 'Jun 3, 2020'}"
22380,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Oct 19, 2010'}"
250900,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 4, 2014'}"
700330,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Dec 29, 2017'}"
10180,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Nov 11, 2009'}"
582660,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': '5 Sep, 2023'}"
1229490,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]",game,"{'coming_soon': False, 'date': 'Sep 3, 2020'}"
1046930,"[{'id': '4', 'description': 'Casual'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jun 20, 2019'}"
1426210,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': '25 Mar, 2021'}"
2195250,"[{'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]",game,"{'coming_soon': False, 'date': 'Sep 28, 2023'}"
2183900,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'Sep 9, 2024'}"
883710,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'Jan 24, 2019'}"
219640,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",game,"{'coming_soon': False, 'date': 'Oct 16, 2012'}"
306130,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': 'May 22, 2017'}"
244210,"[{'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Corse'}, {'id': '28', 'description': 'Simulazione'}, {'id': '18', 'description': 'Sport'}]",game,"{'coming_soon': False, 'date': '19 dic 2014'}"
268500,"[{'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Feb 4, 2016'}"
1794680,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",game,"{'coming_soon': False, 'date': '20 Oct, 2022'}"
1818750,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'Jul 19, 2022'}"
242050,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]",game,"{'coming_soon': False, 'date': ''}"
30,"[{'id': '1', 'description': 'Action'}]",game,"{'coming_soon': False, 'date': 'May 1, 2003'}"
236850,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",game,"{'coming_soon': False, 'date': 'Aug 13, 2013'}"
363970,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",game,"{'coming_soon': False, 'date': 'May 13, 2015'}"
